+-------------------------------------------------------------------------------------------------------+
| Group: PCMEX                                                                                          |
+-------------------------------------------------------------------------------------------------------+
| Block    | Description             | Index | Byte offset      | Block Byte Length | Total Byte Length |
| PMT           | PCMT_PMT_PMT     | [ 1] 0x0004 0004 - 12 | -   | -   | -    |                        |
|               |                  | [ 2] 0x0010 0016 - 12 | -   | -   | -    |                        |
|               |                  | [ 3] 0x001c 0028 - 12 | -   | -   | -    |                        |
|               |                  | [ 4] 0x0028 0040 - 12 | -   | -   | -    |                        |
+------------------------------------------------------------------------------------------------------+
| Block: PCMT_PMT : Total Length Bytes: 0x0034 52                                                      |
+------------------------------------------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMT_PTL_MCTL                                                                                                          |
+-------------------------------------------------------------------------------------------------------------------------------+
| ID    | Description   | Byte offset - len | Min | Max | Init | Values                                                         |
+-------------------------------------------------------------------------------------------------------------------------------+
| SRC   | Source        | 0x0000 0000 - 01  | 0   | 108 | 0    | OFF, CC01, CC02, CC03, CC04, CC05, CC06, CC07, CC08, CC09 ...  |
| DST1  | Destination 1 | 0x0001 0001 - 01  | 0   | 48  | 0    | OFF, PCH, CUT, RES, LEV, PAN, CHO, REV, PIT-LFO1, PIT-LFO2 ... |
| SENS1 | Sens 1        | 0x0002 0002 - 01  | -63 | 63  | 0    |                                                                |
| DST2  | Destination 2 | 0x0003 0003 - 01  | 0   | 48  | 0    | OFF, PCH, CUT, RES, LEV, PAN, CHO, REV, PIT-LFO1, PIT-LFO2 ... |
| SENS2 | Sens 2        | 0x0004 0004 - 01  | -63 | 63  | 0    |                                                                |
| DST3  | Destination 3 | 0x0005 0005 - 01  | 0   | 48  | 0    | OFF, PCH, CUT, RES, LEV, PAN, CHO, REV, PIT-LFO1, PIT-LFO2 ... |
| SENS3 | Sens 3        | 0x0006 0006 - 01  | -63 | 63  | 0    |                                                                |
| DST4  | Destination 4 | 0x0007 0007 - 01  | 0   | 48  | 0    | OFF, PCH, CUT, RES, LEV, PAN, CHO, REV, PIT-LFO1, PIT-LFO2 ... |
| SENS4 | Sens 4        | 0x0008 0008 - 01  | -63 | 63  | 0    |                                                                |
+-------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMT_PTL_MCTL : Total Length Bytes: 0x000c 12                                                                          |
+-------------------------------------------------------------------------------------------------------------------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMT_PTL                                                                                                                                                |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID            | Description                 | Byte offset - len     | Min  | Max   | Init | Values                                                             |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
| LEVEL         | Level                       | 0x0000 0000 - 01      | 0    | 127   | 127  |                                                                    |
| PIT_CRS       | Coarse Tune                 | 0x0002 0002 - 01      | -48  | 48    | 0    |                                                                    |
| PIT_FINE      | Fine Tune                   | 0x0003 0003 - 01      | -50  | 50    | 0    |                                                                    |
| PIT_RND       | Random Pitch Depth          | 0x0004 0004 - 02      | 0    | 1200  | 0    |                                                                    |
| PAN           | Pan                         | 0x0006 0006 - 01      | -64  | 63    | 0    |                                                                    |
| PAN_KF        | Pan Keyfollow               | 0x0007 0007 - 01      | -100 | 100   | 0    |                                                                    |
| PAN_RND       | Random Pan Depth            | 0x0008 0008 - 01      | 0    | 63    | 0    |                                                                    |
| PAN_ALT       | Alternate Pan Depth         | 0x0009 0009 - 01      | -64  | 63    | 0    |                                                                    |
| ENV_MODE      | Envelope Mode               | 0x000a 0010 - 01      | 0    | 1     | 1    | NO-SUS, SUSTAIN                                                    |
| DELAY_MODE    | Delay Mode                  | 0x000b 0011 - 01      | 0    | 3     | 0    | NORMAL, HOLD, KEYOFF-NORMAL, KEYOFF-DECAY                          |
| DLY_TIME_SYNC | DelayTime Sync              | 0x000c 0012 - 01      | 0    | 1     | 0    | OFF, ON                                                            |
| DLY_TIME_NOTE | DelayTime (note)            | 0x000d 0013 - 01      | 0    | 21    | 12   | 1/64T, 1/64, 1/32T, 1/32, 1/16T, 1/32., 1/16, 1/8T, 1/16., 1/8 ... |
| DLY_TIME      | DelayTime                   | 0x000e 0014 - 02      | 0    | 1023  | 0    |                                                                    |
| CHO_SEND      | Chorus Send Level           | 0x0010 0016 - 01      | 0    | 127   | 0    |                                                                    |
| REV_SEND      | Reverb Send Level           | 0x0011 0017 - 01      | 0    | 127   | 0    |                                                                    |
| RX_BEND       | Receive Bender              | 0x0012 0018 - 01      | 0    | 1     | 1    | OFF, ON                                                            |
| RX_EXPR       | Receive Expression          | 0x0013 0019 - 01      | 0    | 1     | 1    | OFF, ON                                                            |
| RX_HOLD       | Receive Hold-1              | 0x0014 0020 - 01      | 0    | 1     | 1    | OFF, ON                                                            |
| REDAMP_SW     | Redamper Switch             | 0x0015 0021 - 01      | 0    | 1     | 0    | OFF, ON                                                            |
| OUT_ASGN      | Output Assign               | 0x0016 0022 - 01      | 0    | 1     | 1    | DRY, MFX                                                           |
| WAV_GTYPE     | Wave Group Type             | 0x0017 0023 - 01      | 0    | 3     | 0    | INT, EXP, SAMP, MSAMP                                              |
| WAV_GID       | Wave Group ID               | 0x0018 0024 - 02      | 0    | 16383 | 0    |                                                                    |
| WAV_NUM_L     | Wave Number L               | 0x001a 0026 - 02      | 0    | 16383 | 0    |                                                                    |
| WAV_NUM_R     | Wave Number R               | 0x001c 0028 - 02      | 0    | 16383 | 0    |                                                                    |
| WAV_GAIN      | Gain                        | 0x001e 0030 - 01      | 0    | 5     | 3    | -18, -12, -6, 0, +6, +12                                           |
| FXM_SW        | FXM Switch                  | 0x001f 0031 - 01      | 0    | 1     | 0    | OFF, ON                                                            |
| FXM_COLOR     | FXM Color                   | 0x0020 0032 - 01      | 1    | 4     | 1    |                                                                    |
| FXM_DEPTH     | FXM Depth                   | 0x0021 0033 - 01      | 0    | 16    | 0    |                                                                    |
| PIT_KF        | Pitch Keyfollow             | 0x0022 0034 - 02      | -200 | 200   | 100  |                                                                    |
| SOFT_EQ_SENS  | Soft EQ Sens                | 0x0024 0036 - 01      | 0    | 100   | 0    |                                                                    |
| FILTER_TYPE   | TVF Filter Type             | 0x0025 0037 - 01      | 0    | 6     | 1    | OFF, LPF, BPF, HPF, PKG, LPF2, LPF3                                |
| CUTOFF        | TVF Cutoff Frequency        | 0x0028 0040 - 02      | 0    | 1023  | 1023 |                                                                    |
| CUTOFF_KF     | TVF Cutoff Keyfollow        | 0x002a 0042 - 02      | -200 | 200   | 0    |                                                                    |
| CUTOFF_VCRV   | TVF Cutoff Velocity Curve   | 0x002c 0044 - 01      | 0    | 7     | 1    | FIXED, 1, 2, 3, 4, 5, 6, 7                                         |
| CUTOFF_VSENS  | TVF Cutoff Velocity Sens    | 0x002d 0045 - 01      | -100 | 100   | 0    |                                                                    |
| RESO          | TVF Resonance               | 0x002e 0046 - 02      | 0    | 1023  | 0    |                                                                    |
| RESO_VSENS    | TVF Resonance Velocity Sens | 0x0030 0048 - 01      | -100 | 100   | 0    |                                                                    |
| BIAS_LEVEL    | Bias Level                  | 0x0031 0049 - 01      | -100 | 100   | 0    |                                                                    |
| BIAS_POS      | Bias Position               | 0x0032 0050 - 01      | 0    | 127   | 60   |                                                                    |
| BIAS_DIR      | Bias Direction              | 0x0033 0051 - 01      | 0    | 3     | 3    | LOWER, UPPER, LOWER&UPPER, ALL                                     |
| LEVEL_VCRV    | TVA Level Velocity Curve    | 0x0034 0052 - 01      | 0    | 7     | 1    | FIXED, 1, 2, 3, 4, 5, 6, 7                                         |
| LEVEL_VSENS   | TVA Level Velocity Sens     | 0x0035 0053 - 01      | -100 | 100   | 0    |                                                                    |
| PENV_TKF      | Pitch Env Time Keyfollow    | 0x0036 0054 - 01      | -100 | 100   | 0    |                                                                    |
| FENV_TKF      | TVF Env Time Keyfollow      | 0x0037 0055 - 01      | -100 | 100   | 0    |                                                                    |
| AENV_TKF      | TVA Env Time Keyfollow      | 0x0038 0056 - 01      | -100 | 100   | 0    |                                                                    |
| VIB_PIT_SENS  | Vibrato Pitch Sens          | 0x0039 0057 - 01      | -100 | 100   | 10   |                                                                    |
| VIB_CUT_SENS  | Vibrato Cutoff Sens         | 0x003a 0058 - 01      | -100 | 100   | 0    |                                                                    |
| VIB_AMP_SENS  | Vibrato Level Sens          | 0x003b 0059 - 01      | -100 | 100   | 0    |                                                                    |
| MCTL          | PCMT_PTL_MCTL               | [ 1] 0x003c 0060 - 12 | -    | -     | -    |                                                                    |
|               |                             | [ 2] 0x0048 0072 - 12 | -    | -     | -    |                                                                    |
|               |                             | [ 3] 0x0054 0084 - 12 | -    | -     | -    |                                                                    |
|               |                             | [ 4] 0x0060 0096 - 12 | -    | -     | -    |                                                                    |
| DAMP_FREE     | Damper Free Note            | 0x006c 0108 - 01      | 0    | 127   | 0    | OFF, 1, 2, 3, 4, 5, 6, 7, 8, 9 ...                                 |
| STEREO_WIDTH  | Stereo Width                | 0x006d 0109 - 01      | 0    | 100   | 100  |                                                                    |
| STEREO_DETN   | Stereo Detune               | 0x006e 0110 - 01      | -50  | 50    | 0    |                                                                    |
| DF_DCY_OFST   | Damper Free Decay Offset    | 0x006f 0111 - 01      | -100 | 100   | 0    |                                                                    |
| TEMPO_SYNC    | Wave Tempo Sync             | 0x0070 0112 - 01      | 0    | 1     | 0    | OFF, ON                                                            |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMT_PTL : Total Length Bytes: 0x007c 124                                                                                                               |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+

+------------------------------------------------------------------------------------------+
| Block: PTL_AENV                                                                          |
+------------------------------------------------------------------------------------------+
| ID       | Description                 | Byte offset - len | Min  | Max  | Init | Values |
+------------------------------------------------------------------------------------------+
| T1_VSENS | TVA Env Time1 Velocity Sens | 0x0000 0000 - 01  | -100 | 100  | 0    |        |
| T4_VSENS | TVA Env Time4 Velocity Sens | 0x0001 0001 - 01  | -100 | 100  | 0    |        |
| T1       | TVA Env Time1               | 0x0002 0002 - 02  | 0    | 1023 | 0    |        |
| T2       | TVA Env Time2               | 0x0004 0004 - 02  | 0    | 1023 | 30   |        |
| T3       | TVA Env Time3               | 0x0006 0006 - 02  | 0    | 1023 | 400  |        |
| T4       | TVA Env Time4               | 0x0008 0008 - 02  | 0    | 1023 | 400  |        |
| L1       | TVA Env Level1              | 0x000a 0010 - 02  | 0    | 1023 | 1023 |        |
| L2       | TVA Env Level2              | 0x000c 0012 - 02  | 0    | 1023 | 1023 |        |
| L3       | TVA Env Level3              | 0x000e 0014 - 02  | 0    | 1023 | 1023 |        |
+------------------------------------------------------------------------------------------+
| Block: PTL_AENV : Total Length Bytes: 0x0010 16                                          |
+------------------------------------------------------------------------------------------+

+----------------------------------------------------------------------------------+
| Block: PTL_EQ                                                                    |
+----------------------------------------------------------------------------------+
| ID       | Description       | Byte offset - len | Min  | Max   | Init | Values  |
+----------------------------------------------------------------------------------+
| LO_GAIN  | EQ Low Gain       | 0x0000 0000 - 02  | -240 | 240   | 0    |         |
| MID_GAIN | EQ Mid Gain       | 0x0002 0002 - 02  | -240 | 240   | 0    |         |
| HI_GAIN  | EQ High Gain      | 0x0004 0004 - 02  | -240 | 240   | 0    |         |
| LO_FREQ  | EQ Low Frequency  | 0x0006 0006 - 02  | 20   | 16000 | 200  |         |
| MID_FREQ | EQ Mid Frequency  | 0x0008 0008 - 02  | 20   | 16000 | 1000 |         |
| HI_FREQ  | EQ High Frequency | 0x000a 0010 - 02  | 20   | 16000 | 2000 |         |
| MID_Q    | EQ Mid Q          | 0x000c 0012 - 01  | 5    | 160   | 10   |         |
| SW       | EQ Switch         | 0x000d 0013 - 01  | 0    | 1     | 0    | OFF, ON |
+----------------------------------------------------------------------------------+
| Block: PTL_EQ : Total Length Bytes: 0x0010 16                                    |
+----------------------------------------------------------------------------------+

+-----------------------------------------------------------------------------------------------------------+
| Block: PTL_FENV                                                                                           |
+-----------------------------------------------------------------------------------------------------------+
| ID       | Description              | Byte offset - len | Min  | Max  | Init | Values                     |
+-----------------------------------------------------------------------------------------------------------+
| DEPTH    | TVF Env Depth            | 0x0000 0000 - 01  | -63  | 63   | 0    |                            |
| VCRV     | TVF Env Velocity Curve   | 0x0001 0001 - 01  | 0    | 7    | 1    | FIXED, 1, 2, 3, 4, 5, 6, 7 |
| VSENS    | TVF Env Velocity Sens    | 0x0002 0002 - 01  | -100 | 100  | 0    |                            |
| T1_VSENS | TVF Env T1 Velocity Sens | 0x0003 0003 - 01  | -100 | 100  | 0    |                            |
| T4_VSENS | TVF Env T4 Velocity Sens | 0x0004 0004 - 01  | -100 | 100  | 0    |                            |
| T1       | TVF Env Time1            | 0x0006 0006 - 02  | 0    | 1023 | 0    |                            |
| T2       | TVF Env Time2            | 0x0008 0008 - 02  | 0    | 1023 | 0    |                            |
| T3       | TVF Env Time3            | 0x000a 0010 - 02  | 0    | 1023 | 0    |                            |
| T4       | TVF Env Time4            | 0x000c 0012 - 02  | 0    | 1023 | 0    |                            |
| L0       | TVF Env Level0           | 0x000e 0014 - 02  | 0    | 1023 | 0    |                            |
| L1       | TVF Env Level1           | 0x0010 0016 - 02  | 0    | 1023 | 1023 |                            |
| L2       | TVF Env Level2           | 0x0012 0018 - 02  | 0    | 1023 | 1023 |                            |
| L3       | TVF Env Level3           | 0x0014 0020 - 02  | 0    | 1023 | 1023 |                            |
| L4       | TVF Env Level4           | 0x0016 0022 - 02  | 0    | 1023 | 0    |                            |
+-----------------------------------------------------------------------------------------------------------+
| Block: PTL_FENV : Total Length Bytes: 0x0018 24                                                           |
+-----------------------------------------------------------------------------------------------------------+

+--------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PTL_LFO_LFO                                                                                                                               |
+--------------------------------------------------------------------------------------------------------------------------------------------------+
| ID           | Description         | Byte offset - len | Min  | Max  | Init | Values                                                             |
+--------------------------------------------------------------------------------------------------------------------------------------------------+
| FORM         | Waveform            | 0x0000 0000 - 01  | 0    | 10   | 1    | SIN, TRI, SAW-UP, SAW-DW, SQR, RND, TRP, S&H, CHS, VSIN ...        |
| RATE_SYNC    | Rate Sync           | 0x0001 0001 - 01  | 0    | 1    | 0    | OFF, ON                                                            |
| RATE_NOTE    | Rate (note)         | 0x0002 0002 - 01  | 0    | 22   | 12   | 1/64T, 1/64, 1/32T, 1/32, 1/16T, 1/32., 1/16, 1/8T, 1/16., 1/8 ... |
| STEP_MAX     | Step Size           | 0x0003 0003 - 01  | 0    | 15   | 15   |                                                                    |
| RATE         | Rate                | 0x0004 0004 - 02  | 0    | 1023 | 650  |                                                                    |
| OFST         | Offset              | 0x0006 0006 - 01  | -100 | 100  | 0    |                                                                    |
| RATE_DETN    | Rate Detune         | 0x0007 0007 - 01  | 0    | 127  | 0    |                                                                    |
| DELAY        | Delay Time          | 0x0008 0008 - 02  | 0    | 1023 | 0    |                                                                    |
| DELAY_KF     | Delay Time Keyfolow | 0x000a 0010 - 01  | -100 | 100  | 0    |                                                                    |
| FADE_MODE    | Fade Mode           | 0x000b 0011 - 01  | 0    | 3    | 0    | ON-IN, ON-OUT, OFF-IN, OFF-OUT                                     |
| FADE         | Fade Time           | 0x000c 0012 - 02  | 0    | 1023 | 0    |                                                                    |
| KEY_TRIG     | Key Trigger         | 0x000e 0014 - 01  | 0    | 1    | 0    | OFF, ON                                                            |
| PIT_DEPTH    | Pitch Depth         | 0x000f 0015 - 01  | -100 | 100  | 0    |                                                                    |
| TVF_DEPTH    | TVF Depth           | 0x0010 0016 - 01  | -100 | 100  | 0    |                                                                    |
| TVA_DEPTH    | TVA Depth           | 0x0011 0017 - 01  | -100 | 100  | 0    |                                                                    |
| PAN_DEPTH    | PAN Depth           | 0x0012 0018 - 01  | -63  | 63   | 0    |                                                                    |
| PHASE_POS    | Phase Position      | 0x0013 0019 - 01  | 0    | 3    | 0    |                                                                    |
| STEP_1       | Step 1              | 0x0014 0020 - 01  | -72  | 72   | 0    |                                                                    |
| STEP_CURVE_1 | Step Curve 1        | 0x0024 0036 - 01  | 0    | 36   | 1    |                                                                    |
+--------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PTL_LFO_LFO : Total Length Bytes: 0x0034 52                                                                                               |
+--------------------------------------------------------------------------------------------------------------------------------------------------+

+-----------------------------------------------------------------------+
| Block: PTL_LFO                                                        |
+-----------------------------------------------------------------------+
| ID  | Description | Byte offset - len     | Min | Max | Init | Values |
+-----------------------------------------------------------------------+
| LFO | PTL_LFO_LFO | [ 1] 0x0000 0000 - 52 | -   | -   | -    |        |
|     |             | [ 2] 0x0034 0052 - 52 | -   | -   | -    |        |
+-----------------------------------------------------------------------+
| Block: PTL_LFO : Total Length Bytes: 0x0068 104                       |
+-----------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------------------+
| Block: PTL_PENV                                                                                             |
+-------------------------------------------------------------------------------------------------------------+
| ID       | Description                | Byte offset - len | Min  | Max  | Init | Values                     |
+-------------------------------------------------------------------------------------------------------------+
| DEPTH    | Pitch Env Depth            | 0x0000 0000 - 01  | -100 | 100  | 0    |                            |
| VSENS    | Pitch Env Velocity Sens    | 0x0001 0001 - 01  | -100 | 100  | 0    |                            |
| T1_VSENS | Pitch Env T1 Velocity Sens | 0x0002 0002 - 01  | -100 | 100  | 0    |                            |
| T4_VSENS | Pitch Env T4 Velocity Sens | 0x0003 0003 - 01  | -100 | 100  | 0    |                            |
| T1       | Pitch Env Time1            | 0x0004 0004 - 02  | 0    | 1023 | 0    |                            |
| T2       | Pitch Env Time2            | 0x0006 0006 - 02  | 0    | 1023 | 0    |                            |
| T3       | Pitch Env Time3            | 0x0008 0008 - 02  | 0    | 1023 | 0    |                            |
| T4       | Pitch Env Time4            | 0x000a 0010 - 02  | 0    | 1023 | 0    |                            |
| L0       | Pitch Env Level0           | 0x000c 0012 - 02  | -511 | 511  | 0    |                            |
| L1       | Pitch Env Level1           | 0x000e 0014 - 02  | -511 | 511  | 240  |                            |
| L2       | Pitch Env Level2           | 0x0010 0016 - 02  | -511 | 511  | 240  |                            |
| L3       | Pitch Env Level3           | 0x0012 0018 - 02  | -511 | 511  | 240  |                            |
| L4       | Pitch Env Level4           | 0x0014 0020 - 02  | -511 | 511  | 0    |                            |
| VCRV     | Pitch Env Velocity Curve   | 0x0016 0022 - 01  | 0    | 7    | 1    | FIXED, 1, 2, 3, 4, 5, 6, 7 |
+-------------------------------------------------------------------------------------------------------------+
| Block: PTL_PENV : Total Length Bytes: 0x0018 24                                                             |
+-------------------------------------------------------------------------------------------------------------+

+--------------------------------------------------------------------------------------------------------------------------------------+
| Block: RCMP                                                                                                                          |
+--------------------------------------------------------------------------------------------------------------------------------------+
| ID        | Description        | Byte offset - len | Min | Max | Init | Values                                                       |
+--------------------------------------------------------------------------------------------------------------------------------------+
| SW        | Comp Switch        | 0x0000 0000 - 01  | 0   | 1   | 0    | OFF, ON                                                      |
| ATTCK     | Comp Attack Time   | 0x0001 0001 - 01  | 0   | 100 | 0    | 0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9 ...                           |
| RELEASE   | Comp Release Time  | 0x0002 0002 - 01  | 0   | 99  | 0    |                                                              |
| THRESHOLD | Comp Threshold     | 0x0003 0003 - 01  | -60 | 0   | 0    |                                                              |
| RATIO     | Comp Ratio         | 0x0004 0004 - 01  | 0   | 7   | 0    | 1:1, 2:1, 3:1, 4:1, 8:1, 16:1, 32:1, INF:1                   |
| KNEE      | Comp Knee          | 0x0005 0005 - 01  | 0   | 30  | 0    |                                                              |
| POSTGAIN  | Comp Output Gain   | 0x0006 0006 - 01  | -48 | 48  | 0    |                                                              |
| OUT_ASGN  | Comp Output Assign | 0x0007 0007 - 01  | 0   | 10  | 1    | DRY, MFX, MAIN, SUB1, SUB2, SUB3, SUB4, SUB5, SUB6, SUB7 ... |
+--------------------------------------------------------------------------------------------------------------------------------------+
| Block: RCMP : Total Length Bytes: 0x0008 8                                                                                           |
+--------------------------------------------------------------------------------------------------------------------------------------+

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: TONECOM                                                                                                                                                                 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID       | Description | Byte offset - len | Min | Max | Init | Values                                                                                                         |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| NAME_1   | Name 1      | 0x0000 0000 - 01  | 32  | 127 | 32   |                                                                                                                |
| CATEGORY | Category    | 0x0010 0016 - 01  | 0   | 50  | 0    | None, Ac.Piano, Pop-Piano, E.Grand Piano, E.Piano1, E.Piano2, E.Organ, Pipe Organ, Reed Organ, Harpsichord ... |
| RSRV8    | Reserved    | 0x0011 0017 - 01  | 0   | 0   | 0    |                                                                                                                |
| RSRV16   | Reserved    | 0x0012 0018 - 02  | 0   | 0   | 0    |                                                                                                                |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: TONECOM : Total Length Bytes: 0x0014 20                                                                                                                                 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

